id,name,DividendRecentAvg,DividendRecentSlope,Category,CurrentClosingPrice,CurrentTrend,CurrentTrendPercent,CurrentTurnover,CurrentPE,CurrentPEAvg,CurrentRecentTrendPercent,CurrentRecentTrendComment
1101,台泥,0.04378,-0.017067,水泥,36.65,0.5,0.0138,12714,30.13,38.79,0.0138,連2跌→漲
2474,可成,0.0447,0.001767,其他電子,186.5,0,0,2218,9.53,33.66,0,連2漲→平
1440,南紡,0.02196,0.0039,紡織,17.4,-0.05,-0.0029,890,15.86,18.36,0.0057,連2跌
2345,智邦,0.01968,-0.002133,通訊網路,273,15.5,0.0602,7316,19.55,28.42,0.1211,連5漲
2809,京城銀,0.03714,0.0037,金融業,35.4,0.1,0.0028,1174,48.36,15.71,0.0028,跌→漲
6414,樺漢,0.02052,0.0007,電腦週邊,228,-3.5,-0.0151,671,13.05,19.62,0.0151,漲→跌
1102,亞泥,0.05356,0.005567,水泥,42.15,0.15,0.0036,2293,9.68,38.79,0.0036,連3跌→漲
2801,彰銀,0.01992,-0.000933,金融業,17.4,0.1,0.0058,4648,17.3,15.71,0.0058,跌→漲
1477,聚陽,0.02906,0.005433,紡織,225,4,0.0181,3225,15.68,18.36,0.0417,連3漲
2347,聯強,0.04698,0.006533,電子通路,62.9,0.3,0.0048,2666,6.39,9.03,0.0048,平→漲
2812,台中銀,0.0167,-0.001433,金融業,13.2,0,0,8971,12.11,15.71,0,跌→平
6415,矽力-KY,0.00446,-0.001533,半導體,595,17,0.0294,2458,33.76,19.58,0.0294,連2跌→漲
1216,統一,0.02876,0.002833,食品,66.8,0.6,0.0091,5358,20.88,24.23,0.0091,連2跌→漲
2880,華南金,0.01954,0.002233,金融業,22.6,0,0,7064,18.23,15.71,0,連3跌→平
1504,東元,0.03076,0.002133,電機,29,0.1,0.0035,4128,18.18,28.42,0.0035,跌→漲
2352,佳世達,0.0427,0.013233,電腦週邊,28.7,0.05,0.0017,2884,6.35,19.62,0.0017,跌→漲
2823,中壽,0,-999,,0,,,0,,0,,
6452,康友-KY,0,-999,,0,,,0,,0,,
1301,台塑,0.04008,0.008633,塑膠,89,0.6,0.0068,3655,9.32,42.33,0.0068,連2跌→漲
2881,富邦金,0.03668,0.005233,金融業,59.4,0,0,11490,8.47,15.71,0,連2跌→平
1536,和大,0.01656,-0.004,汽車,72.4,-0.7,-0.0096,1223,36.92,22.34,0.0176,連2跌
2353,宏碁,0.04446,0.016733,電腦週邊,25.25,0.25,0.01,7788,9.29,19.62,0.0223,連2漲
2834,臺企銀,0.0117,-0.0048,金融業,13.4,0.25,0.019,32745,12.77,15.71,0.019,跌→漲
6456,GIS-KY,0.03258,0.005033,光電,85.6,-0.9,-0.0104,1480,7.28,50.82,0.0104,漲→跌
1303,南亞,0.04354,0.009733,塑膠,75.3,0.9,0.0121,4454,11.75,42.33,0.0121,連3跌→漲
2882,國泰金,0.03892,0.011833,金融業,42.8,0.15,0.0035,14815,8.72,15.71,0.0035,連2跌→漲
1589,永冠-KY,0.0079,0.003633,電機,67.7,0.5,0.0074,664,0,0,0.0074,連2跌→漲
2355,敬鵬,0.01704,0.000833,電子零組件,30.15,0,0,900,38.16,15.16,0,跌→平
2845,遠東銀,0.02856,-0.000533,金融業,11.9,0.1,0.0085,4814,14.39,15.71,0.0085,跌→漲
8150,南茂,0.0458,0.017833,半導體,35.5,0,0,1955,5.57,19.58,0,跌→平
